,power,time,day,acc,pvalue
0,5,1,5,0.5133333333333333,0.40594059405940597
1,5,1,6,0.5208205128205128,0.39603960396039606
2,5,1,7,0.4572692307692307,0.7821782178217822
3,5,1,8,0.5840641025641026,0.039603960396039604
4,5,2,5,0.5339743589743591,0.2376237623762376
5,5,2,6,0.5251410256410256,0.32673267326732675
6,5,2,7,0.5187564102564103,0.32673267326732675
7,5,2,8,0.5611794871794872,0.1188118811881188
8,5,30,5,0.5222307692307693,0.36633663366336633
9,5,30,6,0.5477820512820513,0.1485148514851485
10,5,30,7,0.5384871794871795,0.24752475247524752
11,5,30,8,0.5083076923076922,0.44554455445544555
