,power,time,day,acc,pvalue
0,5,1,5,0.5066736343366778,0.42574257425742573
1,5,1,6,0.49980490523968785,0.39603960396039606
2,5,1,7,0.4724540133779264,0.8910891089108911
3,5,1,8,0.5203483835005573,0.13861386138613863
4,5,2,5,0.5211468784838351,0.19801980198019803
5,5,2,6,0.5002661649944258,0.3564356435643564
6,5,2,7,0.5374568004459309,0.0594059405940594
7,5,2,8,0.4976588628762542,0.45544554455445546
8,5,30,5,0.4935019509476031,0.5544554455445545
9,5,30,6,0.48182274247491635,0.7722772277227723
10,5,30,7,0.5014548494983277,0.44554455445544555
11,5,30,8,0.4892182274247492,0.6633663366336634
