,power,time,day,acc,pvalue
0,5,1,5,0.525128205128205,0.09900990099009901
1,5,1,6,0.608153846153846,0.04950495049504951
2,5,1,7,0.4792179487179487,0.8514851485148515
3,5,1,8,0.492474358974359,0.5643564356435643
4,5,2,5,0.5405769230769232,0.0297029702970297
5,5,2,6,0.48412820512820515,0.8910891089108911
6,5,2,7,0.49764102564102575,0.4158415841584158
7,5,2,8,0.6155256410256411,0.009900990099009901
8,5,30,5,0.5883717948717949,0.019801980198019802
9,5,30,6,0.48996153846153845,0.7722772277227723
10,5,30,7,0.49078205128205127,0.7029702970297029
11,5,30,8,0.4877307692307692,0.6336633663366337
