,power,time,day,acc,pvalue
0,5,1,5,0.5609805194805194,0.09900990099009901
1,5,1,6,0.4186266233766234,0.9900990099009901
2,5,1,7,0.4943019480519481,0.5445544554455446
3,5,1,8,0.5779253246753246,0.0891089108910891
4,5,2,5,0.6227662337662339,0.019801980198019802
5,5,2,6,0.4250227272727273,0.8910891089108911
6,5,2,7,0.4840876623376623,0.594059405940594
7,5,2,8,0.6027110389610388,0.04950495049504951
8,5,30,5,0.5288279220779222,0.32673267326732675
9,5,30,6,0.5038668831168831,0.40594059405940597
10,5,30,7,0.5899935064935066,0.019801980198019802
11,5,30,8,0.5472435064935064,0.16831683168316833
