,power,time,day,acc,pvalue
0,5,1,5,0.5356623376623376,0.2871287128712871
1,5,1,6,0.501922077922078,0.39603960396039606
2,5,1,7,0.5141590909090908,0.25742574257425743
3,5,1,8,0.48938311688311686,0.5544554455445545
4,5,2,5,0.5774090909090909,0.0594059405940594
5,5,2,6,0.4963668831168831,0.5148514851485149
6,5,2,7,0.5089642857142858,0.39603960396039606
7,5,2,8,0.5595162337662338,0.09900990099009901
8,5,30,5,0.4380227272727273,0.9702970297029703
9,5,30,6,0.5181006493506494,0.3069306930693069
10,5,30,7,0.4742662337662338,0.7128712871287128
11,5,30,8,0.5139090909090909,0.37623762376237624
